"Country","Population","Over65_perc","Over80F_percf","Over80M_percm","Slums_perc","GDP_pcap_ppp","Imports_percgdp","PartTime_perc","Salaried_perc","Poverty_perc","StatsCapacity","SciArticles","HealthSpend_pcap_ppp","LifeExp","HospBed_per10thou","MD_per10thou","HygBasic_natperc","HygLimit_natperc","HygNone_natperc","HygBasic_ruralperc","HygLimit_ruralperc","HygNone_ruralperc","HygBasic_urbanperc","HygLimit_urbanperc","HygNone_urbanperc"
"Australia",24982688,15.6564752275591,4.67924906904907,3.40801882417612,NA,51663.3650948449,21.3876035202283,45.7900009155273,83.6129989624023,NA,NA,53610.22,4816.15380859375,82.7487804878049,38,35.874,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",8840521,19.0015664595899,6.55386653077959,3.92008680806524,NA,55454.689293289,52.0344068166518,44.8300018310547,88.0699996948242,NA,NA,12362.28,5617.396484375,81.6439024390244,76,51.441,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",9939800,6.19518275071493,1.73714498870402,0.982339804628094,NA,18044.1367837983,37.7191179640388,19.1499996185303,32.0040016174316,5.3,76.6666666666667,761.43,1163.86193847656,72.864,47,34.466,"83","11","5",NA,NA,NA,NA,NA,NA
"Bahrain",1569439,2.42633387832394,0.506780445391821,0.246452367224037,NA,47303.0485062895,71.6572121891948,NA,97.2050018310547,NA,NA,321.51,2265.28125,77.163,20,9.257,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh",161356039,5.15839063962068,1.06714091750227,0.925676649434137,55.1,4371.75498582046,23.4439348097981,19.4500007629395,40.3639984130859,31.5,65.5555666666667,3135.08,94.3020172119141,72.32,8,5.268,"35","54","11","26","61","14","51","42","7"
"Barbados",286641,15.8026939621338,5.03595179421395,3.67803645551344,NA,18554.1292823844,40.8905996112731,NA,83.3099975585938,NA,NA,37.97,1343.23168945313,79.081,58,24.886,"88","2","9",NA,NA,NA,NA,NA,NA
"Belarus",9483499,14.8451481743098,5.62395173555485,1.9850578004464,NA,19994.8040788005,69.1440943074798,15.8299999237061,95.8280029296875,5.5,83.3333333333333,1179.81,1129.11328125,74.1756097560976,110,40.772,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",11433256,18.7887437383395,7.12120189712347,4.2684741168814,NA,51407.9983373414,82.7389120694672,36.6500015258789,86.036003112793,NA,NA,15688.13,5119.07470703125,81.5951219512195,62,33.234,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belize",383071,4.73645877657144,1.03134605482829,1.04770490256711,10.8,8648.08879957291,58.0078191642862,25.0799999237061,66.9649963378906,NA,66.6666666666667,9.11,481.028198242188,74.496,13,11.262,"90","9","0","90","9","2","91","9","0"
"Benin",11485048,3.25360529746338,0.540043477384322,0.333086789784896,61.5,2424.75584480555,44.1906620897664,NA,10.9589996337891,36.2,62.2222666666667,227.74,84.6509857177734,61.47,5,1.572,"11","16","73","6","17","77","17","15","68"
"Bermuda",63973,NA,NA,NA,NA,52547.3330901036,NA,NA,NA,NA,NA,NA,NA,81.6517073170732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",754394,6.00301171280561,1.2107076985555,1.20832395387809,NA,10167.934056686,55.8915879319988,7.90000009536743,28.4230003356934,12,66.6667,52.64,290.423706054688,71.46,17,3.715,"80","18","2","75","22","3","87","12","0"
"Bolivia",11353142,7.19194739218447,1.8807748577976,1.36894923683088,43.5,7873.16624301,31.1211697950131,NA,31.8610000610352,45,66.6666666666667,102.8,491.677062988281,71.239,11,16.111,"25","15","59","19","27","54","28","10","62"
"Bosnia and Herzegovina",3323929,16.4703174710621,4.14307064239771,2.62930835956091,NA,14623.6740532923,55.7808947028023,11.5500001907349,78.9140014648438,17.9,61.1111333333333,703.79,1172.36730957031,77.262,35,20.003,"97","2","1","96","2","2","98","0","0"
"Botswana",2254126,4.22387434629301,0.658207309145608,0.329681136669237,NA,18615.7933362283,37.7659524881694,NA,71.4889984130859,19.3,54.4444333333333,280.57,1044.29724121094,69.275,18,3.688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",209469333,8.92283783244003,2.2316250996813,1.38043098835871,22.3,16096.4009621464,14.2767004326273,27.2399997711182,67.2890014648438,8.9,81.1111,60147.96,1472.23095703125,75.672,22,21.499,NA,NA,NA,NA,NA,NA,NA,NA,NA
"British Virgin Islands",29802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei",428962,4.87314756750582,0.830842101176379,0.685945519147256,NA,80920.0486841005,41.964043494891,11.3900003433228,91.1539993286133,NA,NA,293.91,1874.95129394531,75.722,27,17.701,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",7025037,21.021914434268,5.96623216359801,3.47833929591438,NA,21960.3699424605,64.3108705743695,11.3699998855591,88.4800033569336,21,81.1111333333333,3311.27,1689.68713378906,74.8658536585366,68,39.879,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkina Faso",19751535,2.40698082866355,0.312584894859738,0.178068625002207,65.8,1984.8843059546,37.2388430772549,NA,12.9029998779297,46.7,62.2222333333333,251.99,129.064270019531,61.174,4,0.6,"12","42","46","8","41","51","23","44","33"
"Burundi",11175378,2.24694046033717,0.356300585871955,0.227288725085867,57.9,744.182072008071,30.5033368824551,24.9099998474121,5.34600019454956,66.9,64.4444666666667,21.12,59.188663482666,61.247,8,0.5,"6","93","1","4","95","1","20","79","0"
"Cambodia",16249798,4.56868001756576,0.691622532759217,0.44915480361977,55.1,4360.85440445566,63.3028853207448,3.41000008583069,49.6430015563965,17.7,60,145.74,238.182662963867,69.57,8,1.682,"66","13","21","60","15","26","88","5","7"
"Cameroon",25216237,2.72887735524057,0.371297984536454,0.245414325454455,37.8,3785.07997826904,23.6975689193905,NA,23.3430004119873,39.9,53.3333666666667,875.62,173.862335205078,58.921,13,0.898,"9","5","85","3","6","91","15","5","81"
"Canada",37057765,17.2320066788651,5.17041754242233,3.44384967889239,NA,48130.2559725043,34.0930504449183,41.8699989318848,84.7249984741211,NA,NA,59967.79,4928.6279296875,81.9487804878049,27,26.102,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cape Verde",543767,4.60932715666821,1.69768695228462,0.847668819127337,NA,7454.06391681042,68.2078053781849,23.6800003051758,61.1240005493164,26.6,64.4444333333333,8.69,357.071716308594,72.782,21,7.694,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caribbean small states",7358965,8.79665874897365,2.09049795079967,1.6492264027719,NA,16187.1118583243,NA,NA,69.4435049743488,NA,52.7777833333333,567.95,950.420452798661,73.5174924941115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands",64174,NA,NA,NA,NA,72607.570767153,NA,5.48999977111816,NA,NA,NA,NA,NA,82.190243902439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",4666377,2.82577370666008,0.477617901429965,0.228033309985213,93.3,859.935619639664,46.9800224539673,NA,7.46299982070923,62,32.2222,20.47,41.9893684387207,52.805,10,0.629,"17","5","78","13","4","83","22","7","71"
"Central Europe and the Baltics",102511922,18.4601184961471,6.04914401745137,3.03249435330383,NA,31214.2090199216,62.3795567136838,22.4651514774393,82.1680086157287,NA,NA,89500.84,1779.37552861779,77.0339659062949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chad",15477751,2.48051894434901,0.360835727122948,0.265347333835293,88.2,1968.25826164116,37.8810921062285,NA,6.74399995803833,46.7,50.0000333333333,15.45,87.2985458374023,53.977,4,0.475,"6","18","76","2","18","79","18","19","63"
"Channel Islands",170499,17.2974621552033,5.7852582704585,3.7002347473502,NA,NA,NA,NA,85.3679962158203,NA,NA,NA,NA,82.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",18729160,11.5298016568816,3.41640396810778,1.985226933853,9,25222.5277771449,28.7191327028464,30.5699996948242,73.052001953125,14.4,86.6666666666667,7121.74,2228.55688476563,80.042,22,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",1392730000,10.9208835350654,2.17991235149794,1.39566194543666,25.2,18236.6129816498,18.7313138032856,NA,53.2519989013672,4.6,76.6666666666667,528263.25,841.114929199219,76.704,42,17.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",49648685,8.47804701986958,2.03518142704334,1.48426927656809,13.1,15012.9302675399,20.8253458573742,27.1299991607666,48.7999992370605,30.6,74.4444333333333,7195.02,1039.15979003906,77.109,15,20.835,"65","4","30","35","6","60","73","4","23"
"Comoros",832322,3.00700930649436,0.46546808634433,0.312504466050868,69.6,2913.38730578137,29.8465449183026,21.6800003051758,31.3190002441406,44.8,47.7777666666667,3.28,123.179405212402,64.118,22,1.699,"16","35","49","15","33","52","18","42","40"
"Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,14.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
